film_id,title,stage_movie_id,upstream_repository,upstream_commit,upstream_script_path,upstream_script_blob_sha1,original_source_url,source_scene_count,cleaned_scene_count,cleaned_script_sha256,screenplay_distributed
chasing_amy,Chasing Amy,en12839bdf037c46a0a3d9de0e50a6cbaa,roytian1992/STAGE_v0,ce4468eac15775a85e5cd3a2e7255d96ff1afb45,English/en12839bdf037c46a0a3d9de0e50a6cbaa/script.json,17f198dca332bcd3f59af08b3bebf371af7bcb6b,http://www.imsdb.com/scripts/Chasing-Amy.html,68,34,sha256:ef03972add4a8c7fb77575424f5ca1c728a5d72fa2b2b91b4b2ba89a5395d34d,false
ghostbusters_ii,Ghostbusters II,enc76f658069e44354af1c5f8ab366d9ff,roytian1992/STAGE_v0,ce4468eac15775a85e5cd3a2e7255d96ff1afb45,English/enc76f658069e44354af1c5f8ab366d9ff/script.json,f7ef00e5873616f5c9ffc8a0701590e3775c8f13,http://www.imsdb.com/scripts/Ghostbusters-2.html,156,156,sha256:c33bec4add0d90a5eebc7069f0290cf1f9ad2adfb2cdf8b986f9a031229627f5,false
the_private_life_of_sherlock_holmes,The Private Life of Sherlock Holmes,en5a2464c851a44d5e814a92455b48783b,roytian1992/STAGE_v0,ce4468eac15775a85e5cd3a2e7255d96ff1afb45,English/en5a2464c851a44d5e814a92455b48783b/script.json,784269436833ea3a28448b6b525f1ff9fa2b1637,http://www.imsdb.com/scripts/Private-Life-of-Sherlock-Holmes%2C-The.html,89,89,sha256:9e2cd3f5555d153fffd8d7a84704b5a31a7b1cb7904d6046b1ff28cda49a7a10,false
dog_day_afternoon,Dog Day Afternoon,en140365ba66ff4e7481ff1a0b2b5e68e8,roytian1992/STAGE_v0,ce4468eac15775a85e5cd3a2e7255d96ff1afb45,English/en140365ba66ff4e7481ff1a0b2b5e68e8/script.json,991d37ff95ab29324dcb60e27ee8176000287509,http://www.imsdb.com/scripts/Dog-Day-Afternoon.html,138,69,sha256:cd687208bd61d135886509a114ca3742c9576bcf6f2835f6129c94baf8a2bfb8,false
apocalypse_now,Apocalypse Now,en3b8f79aa09a045818b4e725fdf6b57e7,roytian1992/STAGE_v0,ce4468eac15775a85e5cd3a2e7255d96ff1afb45,English/en3b8f79aa09a045818b4e725fdf6b57e7/script.json,daf9d0bd9c4c479daf62622fe6d7e94456570ea4,http://www.imsdb.com/scripts/Apocalypse-Now.html,120,60,sha256:6a9fc5ef3907ac795bc0434b5fac5c8d905e7494a6440ce58b6511589aff0a64,false
drag_me_to_hell,Drag Me to Hell,en17793caa790647fcb4e8ee9221a2a43a,roytian1992/STAGE_v0,ce4468eac15775a85e5cd3a2e7255d96ff1afb45,English/en17793caa790647fcb4e8ee9221a2a43a/script.json,0ae557d937bb7ebf191d3e6645f732066b6aac8d,http://www.imsdb.com/scripts/Drag-Me-to-Hell.html,75,75,sha256:cbb7179864a0f79df7026397a9a3a0840a195ed756c74aaedbc5721dc2d548e4,false
up_2009,Up (2009 film),ena1acdede6d524bffaf3a93bf0087206c,roytian1992/STAGE_v0,ce4468eac15775a85e5cd3a2e7255d96ff1afb45,English/ena1acdede6d524bffaf3a93bf0087206c/script.json,b16ea5c4960aa4d7c142ab26560fc437bd9430a2,http://www.imsdb.com/scripts/Up.html,181,181,sha256:c06f50d742f329d6381c5656ab7716caa88690ab49a8608736af88542e605918,false
darkman,Darkman,en7f8648f5449c4f9da46febfd68cdbd58,roytian1992/STAGE_v0,ce4468eac15775a85e5cd3a2e7255d96ff1afb45,English/en7f8648f5449c4f9da46febfd68cdbd58/script.json,2b7798746e5b5596164c1b692dd29640e778a36d,http://www.imsdb.com/scripts/Darkman.html,100,100,sha256:0dc3a78c2568af23283328fd74d7b333462190243df4363533cdef1fc60d5c54,false
do_the_right_thing,Do the Right Thing,en97cd44f4ac92471e9137b4d2262a4dac,roytian1992/STAGE_v0,ce4468eac15775a85e5cd3a2e7255d96ff1afb45,English/en97cd44f4ac92471e9137b4d2262a4dac/script.json,29c044eaf5749046a73e7570fae4f656c39e1344,http://www.imsdb.com/scripts/Do-The-Right-Thing.html,98,98,sha256:3912c4b863b78c35044293f6377ce0b561108b848cee1a6feec75dadb65a86ed,false
the_white_ribbon,The White Ribbon,en1ae8880bb21245a39ad18f119e163fec,roytian1992/STAGE_v0,ce4468eac15775a85e5cd3a2e7255d96ff1afb45,English/en1ae8880bb21245a39ad18f119e163fec/script.json,eafb650f054e148df8eb95199fc360fd30a50f56,http://www.imsdb.com/scripts/White-Ribbon%2C-The.html,76,76,sha256:89b29fbe35b4af8ec4c0f374fa76d063873e6cae1099ae9b29d7f63b170432e6,false
