film_id,stage_movie_id,source_scene_count,cleaned_scene_count,removed_scene_records,cleaning_operation,cleaned_script_sha256,notes
chasing_amy,en12839bdf037c46a0a3d9de0e50a6cbaa,68,34,34,duplicate_second_pass_removed,sha256:ef03972add4a8c7fb77575424f5ca1c728a5d72fa2b2b91b4b2ba89a5395d34d,Second duplicated screenplay pass removed; first canonical pass retained.
ghostbusters_ii,enc76f658069e44354af1c5f8ab366d9ff,156,156,0,serialization_eof_newline_only,sha256:c33bec4add0d90a5eebc7069f0290cf1f9ad2adfb2cdf8b986f9a031229627f5,Scene records/content match; cleaned file differs only by a trailing LF serialization newline.
the_private_life_of_sherlock_holmes,en5a2464c851a44d5e814a92455b48783b,89,89,0,serialization_eof_newline_only,sha256:9e2cd3f5555d153fffd8d7a84704b5a31a7b1cb7904d6046b1ff28cda49a7a10,Scene records/content match; cleaned file differs only by a trailing LF serialization newline.
dog_day_afternoon,en140365ba66ff4e7481ff1a0b2b5e68e8,138,69,69,duplicate_second_pass_removed_and_boundary_restart_trimmed,sha256:cd687208bd61d135886509a114ca3742c9576bcf6f2835f6129c94baf8a2bfb8,Second duplicated screenplay pass removed; duplicated restart/header material appended at the first-pass terminal boundary was trimmed.
apocalypse_now,en3b8f79aa09a045818b4e725fdf6b57e7,120,60,60,duplicate_second_pass_removed_and_boundary_restart_trimmed,sha256:6a9fc5ef3907ac795bc0434b5fac5c8d905e7494a6440ce58b6511589aff0a64,Second duplicated screenplay pass removed; duplicated restart/header material appended at the first-pass terminal boundary was trimmed.
drag_me_to_hell,en17793caa790647fcb4e8ee9221a2a43a,75,75,0,identity,sha256:cbb7179864a0f79df7026397a9a3a0840a195ed756c74aaedbc5721dc2d548e4,Historical STAGE JSON and cleaned experimental JSON were byte-identical in the audited snapshot.
up_2009,ena1acdede6d524bffaf3a93bf0087206c,181,181,0,identity,sha256:c06f50d742f329d6381c5656ab7716caa88690ab49a8608736af88542e605918,Historical STAGE JSON and cleaned experimental JSON were byte-identical in the audited snapshot.
darkman,en7f8648f5449c4f9da46febfd68cdbd58,100,100,0,identity,sha256:0dc3a78c2568af23283328fd74d7b333462190243df4363533cdef1fc60d5c54,Historical STAGE JSON and cleaned experimental JSON were byte-identical in the audited snapshot.
do_the_right_thing,en97cd44f4ac92471e9137b4d2262a4dac,98,98,0,identity,sha256:3912c4b863b78c35044293f6377ce0b561108b848cee1a6feec75dadb65a86ed,Historical STAGE JSON and cleaned experimental JSON were byte-identical in the audited snapshot.
the_white_ribbon,en1ae8880bb21245a39ad18f119e163fec,76,76,0,imsdb_footer_removed,sha256:89b29fbe35b4af8ec4c0f374fa76d063873e6cae1099ae9b29d7f63b170432e6,Screenplay scene records retained; non-screenplay IMSDb page/footer material appended to the terminal scene was removed.
